Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Town,Address_State,Address_Postcode,LGA_Name,longitude,latitude,score
Government,1,8271,Richmond High School,Secondary,4 Griffiths Street,Richmond,VIC,3121,Yarra (C),145.002804,-37.817408,29
Government,1,8276,Robinvale College,Pri/Sec,88 George Street,Robinvale,VIC,3549,Swan Hill (RC),142.7815451,-34.58888676,25
Government,1,8280,Rochester Secondary College,Secondary,Edward Street,Rochester,VIC,3561,Campaspe (S),144.6986963,-36.35277863,29
Government,1,8290,Rosebud Secondary College,Secondary,245 Eastbourne Road,Rosebud,VIC,3939,Mornington Peninsula (S),144.887447,-38.367615,28
Government,1,8300,Rutherglen High School,Secondary,40 Sheridans Bridge Road,Rutherglen,VIC,3685,Indigo (S),146.452103,-36.062564,23
Government,1,8307,Scoresby Secondary College,Secondary,Cavell Street,Scoresby,VIC,3179,Knox (C),145.2362,-37.888642,27
Government,1,8320,Greater Shepparton Secondary College,Secondary,31-71 Hawdon Street,Shepparton,VIC,3630,Greater Shepparton (C),145.415396,-36.372067,25
Government,1,8330,St Albans Secondary College,Secondary,289 Main Road East,St Albans,VIC,3021,Brimbank (C),144.808411,-37.745532,31
Government,1,8335,St Arnaud Secondary College,Secondary,Smith Street,St Arnaud,VIC,3478,Northern Grampians (S),143.250936,-36.609547,25
Government,1,8345,Strathmore Secondary College,Secondary,400 Pascoe Vale Road,Strathmore,VIC,3041,Moonee Valley (C),144.926643,-37.73695,31
Government,1,8350,Sunbury College,Secondary,30 Racecourse Road,Sunbury,VIC,3429,Hume (C),144.728672,-37.574279,28
Government,1,8368,Sydney Road Community School,Secondary,350 Sydney Road,Brunswick,VIC,3056,Moreland (C),144.961878,-37.769691,23
Government,1,8370,Tallangatta Secondary College,Secondary,145 Towong Street,Tallangatta,VIC,3700,Towong (S),147.172667,-36.220441,25
Government,1,8383,Thomastown Secondary College,Secondary,80-96 Main Street,Thomastown,VIC,3074,Whittlesea (C),145.0019385,-37.67871605,24
Government,1,8395,Trafalgar High School,Secondary,School Road,Trafalgar,VIC,3824,Baw Baw (S),146.158302,-38.214568,28
Government,1,8405,University High School,Secondary,77 Story Street,Parkville,VIC,3052,Melbourne (C),144.95538,-37.796982,32
Government,1,8407,Roxburgh College,Secondary,60-70 Donald Cameron Drive,Roxburgh Park,VIC,3064,Hume (C),144.930331,-37.63041,24
Government,1,8410,Upper Yarra Secondary College,Secondary,81-89 Little Yarra Road,Yarra Junction,VIC,3797,Yarra Ranges (S),145.623933,-37.79209352,26
Government,1,8415,Upwey High School,Secondary,1451 Burwood Highway,Upwey,VIC,3158,Yarra Ranges (S),145.335475,-37.904357,26
Government,1,8420,Vermont Secondary College,Secondary,27 - 63 Morack Road,Vermont,VIC,3133,Whitehorse (C),145.199701,-37.844117,31
Government,1,8421,Kambrya College,Secondary,68 Bemersyde Drive,Berwick,VIC,3806,Casey (C),145.34741,-38.05368819,30
Government,1,8423,Carrum Downs Secondary College,Secondary,263 McCormicks Road,Carrum Downs,VIC,3201,Frankston (C),145.197658,-38.095291,24
Government,1,8425,Wangaratta High School,Secondary,17-49 Edwards Street,Wangaratta,VIC,3677,Wangaratta (RC),146.307723,-36.344898,25
Government,1,8428,Wantirna College,Secondary,90 Harold Street,Wantirna,VIC,3152,Knox (C),145.229974,-37.857598,27
Government,1,8430,Warracknabeal Secondary College,Secondary,1 Tregear Street,Warracknabeal,VIC,3393,Yarriambiack (S),142.389405,-36.26275,30
Government,1,8437,Warrandyte High School,Secondary,241-247 Heidelberg-Warrandyte Rd,Warrandyte,VIC,3113,Manningham (C),145.184222,-37.748269,23
Government,1,8462,Wellington Secondary College,Secondary,91 Police Road,Mulgrave,VIC,3170,Monash (C),145.169378,-37.934467,28
Government,1,8465,Werribee Secondary College,Secondary,45 Duncans Road,Werribee,VIC,3030,Wyndham (C),144.668744,-37.905536,28
Government,1,8466,Bairnsdale Secondary College,Secondary,90 Mckean Street,Bairnsdale,VIC,3875,East Gippsland (S),147.6049997,-37.82871098,26
Government,1,8470,Westall Secondary College,Secondary,88-128 Rosebank Avenue,Clayton South,VIC,3169,Kingston (C),145.136577,-37.940312,26
Government,1,8474,Wheelers Hill Secondary College,Secondary,2-28 Raphael Drive,Wheelers Hill,VIC,3150,Monash (C),145.181743,-37.910126,28
Government,1,8475,Williamstown High School,Secondary,76 Pasco Street,Williamstown,VIC,3016,Hobsons Bay (C),144.895024,-37.862855,32
Government,1,8480,Wodonga Senior Secondary College,Secondary,80 Brockley Street,Wodonga,VIC,3690,Wodonga (C),146.8810522,-36.12560893,22
Government,1,8490,Yarram Secondary College,Secondary,86 James Street,Yarram,VIC,3971,Wellington (S),146.68546,-38.566575,25
Government,1,8491,Woodmans Hill Secondary College,Secondary,1 Fussell Street,Ballarat East,VIC,3350,Ballarat (C),143.892275,-37.559122,29
Government,1,8500,Yea High School,Secondary,67 Racecourse Rd,Yea,VIC,3717,Murrindindi (S),145.408536,-37.215011,25
Government,1,8704,Glen Eira College,Secondary,76 Booran Road,Caulfield East,VIC,3145,Glen Eira (C),145.038006,-37.8857,31
Government,1,8705,Craigieburn Secondary College,Secondary,102 Hothlyn Drive,Craigieburn,VIC,3064,Hume (C),144.9355817,-37.60861754,22
Government,1,8707,Emerald Secondary College,Secondary,425 Belgrave-gembrook Rd,Emerald,VIC,3782,Cardinia (S),145.4587437,-37.92427055,29
Government,1,8708,Reservoir High School,Secondary,855 Plenty Road,Reservoir,VIC,3073,Darebin (C),145.029772,-37.722259,27
Government,1,8709,Hampton Park Secondary College,Secondary,58 - 96 Fordholm Road,Hampton Park,VIC,3976,Casey (C),145.259884,-38.034862,27
Government,1,8710,Hoppers Crossing Secondary College,Secondary,2 Fraser Street,Hoppers Crossing,VIC,3029,Wyndham (C),144.695358,-37.871223,28
Government,1,8715,Keilor Downs Secondary College,Secondary,100-110 Odessa Avenue,Keilor Downs,VIC,3038,Brimbank (C),144.811186,-37.715515,29
Government,1,8716,Kurnai College,Secondary,Bridle Road,Morwell,VIC,3840,Latrobe (C),146.432788,-38.228791,27
Government,1,8718,Kurunjang Secondary College,Secondary,Kurunjang Drive,Melton,VIC,3337,Melton (C),144.585957,-37.672914,24
Government,1,8720,Lakes Entrance Secondary College,Secondary,1-11 North Street,Lakes Entrance,VIC,3909,East Gippsland (S),147.998412,-37.871343,28
Government,1,8722,Elisabeth Murdoch College,Secondary,80 Warrandyte Road,Langwarrin,VIC,3910,Frankston (C),145.19018,-38.159291,29
Government,1,8723,Sunbury Downs Secondary College,Secondary,148-174 Mitchells Lane,Sunbury,VIC,3429,Hume (C),144.704485,-37.584007,29
Government,1,8724,Forest Hill College,Secondary,178-180 Mahoneys Road,Burwood East,VIC,3151,Whitehorse (C),145.163728,-37.848519,27
Government,1,8725,Patterson River Secondary College,Secondary,78 - 98 Eel Race Road,Seaford,VIC,3198,Frankston (C),145.134741,-38.083504,25
Government,1,8730,St Helena Secondary College,Secondary,Wallowa Road,Eltham North,VIC,3095,Banyule (C),145.1399078,-37.68686717,29
Government,1,8731,Stawell Secondary College,Secondary,79-97 Patrick Street,Stawell,VIC,3380,Northern Grampians (S),142.789787,-37.061954,25
Government,1,8734,Rowville Secondary College,Secondary,17 Paratea Drive,Rowville,VIC,3178,Knox (C),145.2370885,-37.92388682,26
Government,1,8739,Sandringham College,Secondary,11 Holloway Road,Sandringham,VIC,3191,Bayside (C),145.023034,-37.956709,30
Government,1,8742,Fitzroy High School,Secondary,Falconer Street,Fitzroy North,VIC,3068,Yarra (C),144.987476,-37.784911,30
Government,1,8743,Ashwood High School,Secondary,50 Vannam Drive,Ashwood,VIC,3147,Monash (C),145.103328,-37.864527,30
Government,1,8744,Mullauna Secondary College,Secondary,456 Springfield Road,Mitcham,VIC,3132,Whitehorse (C),145.190155,-37.807109,30
Government,1,8745,Leongatha Secondary College,Secondary,115 Nerrena Road,Leongatha,VIC,3953,South Gippsland (S),145.9612411,-38.47868659,27
Government,1,8746,Diamond Valley College,Secondary,165-179 Main Hurstbridge Road,Diamond Creek,VIC,3089,Nillumbik (S),145.167403,-37.672828,25
Government,1,8750,Greensborough Secondary College,Secondary,Nell Street,Greensborough,VIC,3088,Banyule (C),145.091251,-37.708486,28
Government,1,8753,Ararat Secondary College,Secondary,4-30 Barkly Street,Ararat,VIC,3377,Ararat (RC),142.9219615,-37.28599961,25
Government,1,8775,Mill Park Secondary College,Secondary,9 - 25 Moorhead Drive,Mill Park,VIC,3082,Whittlesea (C),145.063414,-37.664155,25
Government,1,8777,Bacchus Marsh College,Secondary,73 Grant Street,Bacchus Marsh,VIC,3340,Moorabool (S),144.4330584,-37.68562875,24
Government,1,8783,The Grange P-12 College,Pri/Sec,30 Deloraine Drive,Hoppers Crossing,VIC,3029,Wyndham (C),144.6749381,-37.8581346,22
Government,1,8784,Springside West Secondary College,Secondary,70 City Vista Court,Fraser Rise,VIC,3336,Melton (C),144.726887,-37.715977,30
Government,1,8787,Taylors Lakes Secondary College,Secondary,1-39 Parmelia Drive,Taylors Lakes,VIC,3038,Brimbank (C),144.794402,-37.70741,26
Government,1,8790,Sunshine College,Secondary,Graham Street,Sunshine,VIC,3020,Brimbank (C),144.829156,-37.790365,26
Government,1,8791,Wallan Secondary College,Secondary,100 Duke Street,Wallan,VIC,3756,Mitchell (S),144.981473,-37.418393,22
Government,1,8797,Thornbury High School,Secondary,238 Collins Street,Thornbury,VIC,3071,Darebin (C),145.0252135,-37.75649469,31
Government,1,8798,Portland Secondary College,Secondary,Must Street,Portland,VIC,3305,Glenelg (S),141.5948243,-38.3588185,26
Government,1,8799,Copperfield College,Secondary,Goldsmith Avenue,Delahey,VIC,3037,Brimbank (C),144.772426,-37.719463,28
Government,1,8800,Bayside P-12 College,Pri/Sec,29-69 Kororoit Creek Road,Williamstown,VIC,3016,Hobsons Bay (C),144.8852138,-37.85770007,29
Government,1,8801,South Oakleigh Secondary College,Secondary,Bakers Road,Oakleigh South,VIC,3167,Monash (C),145.089768,-37.92232068,30
Government,1,8802,Swan Hill College,Secondary,10 - 32 Pye Street,Swan Hill,VIC,3585,Swan Hill (RC),143.5528519,-35.33522773,28
Government,1,8803,Traralgon College,Secondary,154-184 Grey Street,Traralgon,VIC,3844,Latrobe (C),146.5194895,-38.19142459,27
Government,1,8804,Mornington Secondary College,Secondary,1051 Nepean Highway,Mornington,VIC,3931,Mornington Peninsula (S),145.057762,-38.216712,28
Government,1,8806,Essendon Keilor College,Secondary,Quinn Grove,Keilor East,VIC,3033,Moonee Valley (C),144.8697108,-37.73970794,26
Government,1,8807,Brunswick Secondary College,Secondary,47 Dawson Street,Brunswick,VIC,3056,Moreland (C),144.95501,-37.770899,30
Government,1,8808,Glen Waverley Secondary College,Secondary,13-21 O'Sullivan Road,Glen Waverley,VIC,3150,Monash (C),145.162106,-37.878098,33
Government,1,8809,Monterey Secondary College,Secondary,Silvertop Street,Frankston North,VIC,3200,Frankston (C),145.147724,-38.126124,24
Government,1,8811,Warrnambool College,Secondary,Grafton Road,Warrnambool,VIC,3280,Warrnambool (C),142.4996761,-38.37671595,27
Government,1,8812,Viewbank College,Secondary,Warren Road,Rosanna,VIC,3084,Banyule (C),145.08659,-37.741196,29
Government,1,8813,Noble Park Secondary College,Secondary,3 Callaghan Street,Noble Park,VIC,3174,Greater Dandenong (C),145.182369,-37.970209,26
Government,1,8814,Baimbridge College,Secondary,59 Mt Baimbridge Rd,Hamilton,VIC,3300,Southern Grampians (S),142.014634,-37.733311,25
Government,1,8815,Yarra Hills Secondary College,Secondary,16 Reay Road,Mooroolbark,VIC,3138,Yarra Ranges (S),145.316184,-37.78934,26
Government,1,8816,Heathmont College,Secondary,Waters Grove,Heathmont,VIC,3135,Maroondah (C),145.2321036,-37.83842619,26
Government,1,8818,Horsham College,Secondary,310 Baillie Street,Horsham,VIC,3402,Horsham (RC),142.184101,-36.711661,32
Government,1,8819,Melbourne Girls College,Secondary,Yarra Boulevard,Richmond,VIC,3121,Yarra (C),145.014334,-37.822507,32
Government,1,8820,Western Heights Secondary College,Secondary,37-61 Vines Road,Hamlyn Heights,VIC,3215,Greater Geelong (C),144.328058,-38.12391,21
Government,1,8821,Lowanna College,Secondary,72-96 Newark Avenue,Newborough,VIC,3825,Latrobe (C),146.2859798,-38.17667934,26
Government,1,8823,Templestowe College,Secondary,7 Cypress Avenue,Templestowe Lower,VIC,3107,Manningham (C),145.122306,-37.767428,29
Government,1,8824,Castlemaine Secondary College,Secondary,Etty Street,Castlemaine,VIC,3450,Mount Alexander (S),144.214549,-37.077088,26
Government,1,8827,Warragul Regional College,Secondary,55 Burke Street,Warragul,VIC,3820,Baw Baw (S),145.9254852,-38.16519591,27
Government,1,8828,Mount Rowan Secondary College,Secondary,Cnr Forest St And Giot Dve,Wendouree,VIC,3355,Ballarat (C),143.834472,-37.51922,26
Government,1,8830,Charlton College,Pri/Sec,33 - 49 Davies Street,Charlton,VIC,3525,Buloke (S),143.359633,-36.270312,31
Government,1,8831,Wycheproof P-12 College,Pri/Sec,McKenzie Crescent,Wycheproof,VIC,3527,Buloke (S),143.229098,-36.075704,34
Government,1,8832,Birchip P-12 School,Pri/Sec,43-47 Campbell Street,Birchip,VIC,3483,Buloke (S),142.9099365,-35.98438249,27
Government,1,8833,Nhill College,Pri/Sec,Whitehead Avenue,Nhill,VIC,3418,Hindmarsh (S),141.65886,-36.33260253,29
Government,1,8834,Sale College,Secondary,73-81 Macalister Street,Sale,VIC,3850,Wellington (S),147.068006,-38.108921,24
Government,1,8835,McClelland Secondary College,Secondary,31 Belar Avenue,Frankston,VIC,3199,Frankston (C),145.158453,-38.14632,30
Government,1,8836,Footscray City College,Secondary,1 Kinnear Street,Footscray,VIC,3011,Maribyrnong (C),144.8940131,-37.79107126,29
Government,1,8839,Narre Warren South P-12 College,Pri/Sec,Amberly Park Drive,Narre Warren South,VIC,3805,Casey (C),145.285075,-38.049734,30
Government,1,8841,Lara Secondary College,Secondary,34 Alkara Avenue,Lara,VIC,3212,Greater Geelong (C),144.41157,-38.018176,25
Government,1,8842,Kaniva P-12 College,Pri/Sec,2 Farmers Street,Kaniva,VIC,3419,West Wimmera (S),141.2448451,-36.38271876,28
Government,1,8843,Corryong College,Pri/Sec,27-45 Towong Road,Corryong,VIC,3707,Towong (S),147.910757,-36.192938,34
Government,1,8845,Maryborough Education Centre,Pri/Sec,102 - 192 Balaclava Road,Maryborough,VIC,3465,Central Goldfields (S),143.722865,-37.042159,26
Government,1,8846,The Lakes South Morang P-9 School,Pri/Sec,80 Jardier Terrace,South Morang,VIC,3752,Whittlesea (C),145.075679,-37.634935,23
Government,1,8847,Point Cook Senior Secondary College,Secondary,Cnr Boardwalk Blvd & Bergamot,Point Cook,VIC,3030,Wyndham (C),144.73282,-37.886718,27
Government,1,8848,Manor Lakes P-12 College,Pri/Sec,2-50 Minindee Road,Wyndham Vale,VIC,3024,Wyndham (C),144.601853,-37.873507,24
Government,1,8849,Coburg High School,Secondary,101 Urquhart Street,Coburg,VIC,3058,Moreland (C),144.9728,-37.7407,28
Government,1,8853,Mount Ridley P-12 College,Pri/Sec,2-30 Hampton Street,Craigieburn,VIC,3064,Hume (C),144.9234217,-37.58027078,23
Government,1,8854,Tarneit Senior College,Secondary,861 Leakes Road,Tarneit,VIC,3029,Wyndham (C),144.6804061,-37.83335386,24
Government,1,8855,Echuca College,Secondary,20 - 50 Butcher Street,Echuca,VIC,3564,Campaspe (S),144.732423,-36.132394,26
Government,1,8856,John Monash Science School,Secondary,"39 Innovation Walk, Monash University",Clayton,VIC,3800,Monash (C),145.128686,-37.914221,35
Government,1,8857,Altona College,Pri/Sec,103 A Grieve Parade,Altona,VIC,3018,Hobsons Bay (C),144.818639,-37.861911,24
Government,1,8858,Dandenong High School,Secondary,92-106 Princes Highway,Dandenong,VIC,3175,Greater Dandenong (C),145.209011,-37.979418,25
Government,1,8861,Laverton P-12 College,Pri/Sec,91 Bladin Street,Laverton,VIC,3028,Hobsons Bay (C),144.7726329,-37.85617409,22
Government,1,8862,Hume Central Secondary College,Secondary,60-78 Tanderrum Way,Broadmeadows,VIC,3047,Hume (C),144.915355,-37.680442,27
Government,1,8864,Colac Secondary College,Secondary,173 Queen Street,Colac,VIC,3250,Colac-Otway (S),143.5901021,-38.35149548,23
Government,1,8865,Nossal High School,Secondary,100 Clyde Road,Berwick,VIC,3806,Casey (C),145.336563,-38.038502,36
Government,1,8866,Suzanne Cory High School,Secondary,225 Hoppers Lane,Werribee,VIC,3030,Wyndham (C),144.700748,-37.893852,34
Government,1,8868,Hallam Senior Secondary College,Secondary,74-84 Frawley Road,Hallam,VIC,3803,Casey (C),145.261185,-38.000196,25
Government,1,8869,Gleneagles Secondary College,Secondary,58 Reema Boulevard,Endeavour Hills,VIC,3802,Casey (C),145.276556,-37.974606,27
Government,1,8870,Fountain Gate Secondary College,Secondary,45 Josephine Avenue,Narre Warren,VIC,3805,Casey (C),145.2950967,-38.00620519,25
Government,1,8873,Myrtleford P-12 College,Pri/Sec,Prince Street,Myrtleford,VIC,3737,Alpine (S),146.7261447,-36.54888702,29
Government,1,8874,Alkira Secondary College,Secondary,15 Nurture Avenue,Cranbourne North,VIC,3977,Casey (C),145.308716,-38.073127,29
Government,1,8875,Somerville Secondary College,Secondary,37 Graf Road,Somerville,VIC,3912,Mornington Peninsula (S),145.168595,-38.227257,28
Government,1,8882,Boort District P-12 School,Pri/Sec,9 - 27 Malone Street,Boort,VIC,3537,Loddon (S),143.726948,-36.110217,30
Government,1,8883,Yarrawonga College P-12,Pri/Sec,2-24 Pinniger Street,Yarrawonga,VIC,3730,Moira (S),146.0066682,-36.02144074,25
Government,1,8884,Seymour College,Pri/Sec,29-47 Stewart Street,Seymour,VIC,3660,Mitchell (S),145.1411167,-37.02984234,25
Government,1,8889,Albert Park College,Secondary,83 Danks Street,Albert Park,VIC,3206,Port Phillip (C),144.947363,-37.844792,32
Government,1,8890,Charles La Trobe P-12 College - Macloed West,Pri/Sec,235 Kingsbury Drive,Macleod West,VIC,3085,Darebin (C),145.05865,-37.728966,24
Government,1,8891,Victoria University Secondary College,Secondary,5A Jamieson Street,St Albans,VIC,3021,Brimbank (C),144.785626,-37.740102,28
Government,1,8892,Swifts Creek P-12 School,Pri/Sec,6840 Great Alpine Road,Swifts Creek,VIC,3896,East Gippsland (S),147.7240342,-37.26684449,29
Government,1,8893,Glenroy Secondary College,Secondary,120 Glenroy Road,Glenroy,VIC,3046,Moreland (C),144.9249952,-37.70470214,21
Government,1,8894,John Fawkner Secondary College,Secondary,51 Jukes Road,Fawkner,VIC,3060,Moreland (C),144.9718587,-37.70271075,18
Government,1,8895,William Ruthven Secondary College,Secondary,60 Merrilands Road,Reservoir,VIC,3073,Darebin (C),145.002774,-37.696666,27
Government,1,8897,Mernda Central P-12 College,Pri/Sec,70 Breadalbane Avenue,Mernda,VIC,3754,Whittlesea (C),145.08833,-37.604853,25
Government,1,8898,Cranbourne East Secondary College,Secondary,50 Stately Drive,Cranbourne East,VIC,3977,Casey (C),145.306027,-38.10494,33
Government,1,8900,Phoenix P-12 Community College,Pri/Sec,53 - 71 Hertford Street,Sebastopol,VIC,3356,Ballarat (C),143.8335059,-37.58661037,28
Government,1,8901,Northern Bay P-12 College,Pri/Sec,3-25 Goldsworthy Road,Corio,VIC,3214,Greater Geelong (C),144.355709,-38.078406,26
Government,1,8903,Surf Coast Secondary College,Secondary,75 White Street,Torquay,VIC,3228,Surf Coast (S),144.3238552,-38.30419186,29
Government,1,8904,Hopetoun P-12 College,Pri/Sec,1 Dodgshun Street,Hopetoun,VIC,3396,Yarriambiack (S),142.3660296,-35.73486974,28
Government,1,8907,Officer Secondary College,Secondary,1 Parker Street,Officer,VIC,3809,Cardinia (S),145.410967,-38.072015,24
Government,1,8910,Lakeview Senior College,Secondary,College Street,Caroline Springs,VIC,3023,Melton (C),144.740281,-37.731016,26
Government,1,8912,Melba Secondary College,Secondary,Brentnall Road,Croydon,VIC,3136,Maroondah (C),145.262016,-37.795523,27
Government,1,8913,Boronia K-12 College,Pri/Sec,35-37 Albert Avenue,Boronia,VIC,3155,Knox (C),145.293268,-37.8583,21
Government,1,8915,Benalla P-12 College,Pri/Sec,20 Faithfull Street,Benalla,VIC,3672,Benalla (RC),145.963847,-36.553372,23
Independent,2,1,Wesley College - Melbourne,Pri/Sec,577 St Kilda Road,MELBOURNE,VIC,3004,Melbourne (C),144.982144,-37.84883,32
Independent,2,5,Korowa Anglican Girls' School,Pri/Sec,10 - 16 Ranfurlie Crescent,GLEN IRIS,VIC,3146,Stonnington (C),145.054637,-37.861454,36
Catholic,2,20,Parade College,Secondary,1436 Plenty Road,BUNDOORA,VIC,3083,Banyule (C),145.066978,-37.690178,30
Catholic,2,25,Simonds Catholic College,Secondary,273 Victoria Street,WEST MELBOURNE,VIC,3003,Melbourne (C),144.952883,-37.805971,29
Catholic,2,28,St Patrick's College Ballarat,Secondary,1431 Sturt Street,BALLARAT,VIC,3350,Ballarat (C),143.831558,-37.559711,29
Catholic,2,33,Emmanuel College - Warrnambool,Secondary,37 Ardlie Street,WARRNAMBOOL,VIC,3280,Warrnambool (C),142.477358,-38.370986,29
Catholic,2,35,Loreto College,Secondary,1600 Sturt Street,BALLARAT,VIC,3350,Ballarat (C),143.8234695,-37.55686069,31
Independent,2,83,Ruyton Girls' School,Pri/Sec,12 Selbourne Road,KEW,VIC,3101,Boroondara (C),145.039181,-37.811111,36
Independent,2,96,Caulfield Grammar School - St Kilda East,Pri/Sec,217 Glen Eira Road,ST KILDA EAST,VIC,3183,Glen Eira (C),145.004887,-37.877377,34
Catholic,2,111,Assumption College,Secondary,Sutherland Street,KILMORE,VIC,3764,Mitchell (S),144.947629,-37.301013,27
Catholic,2,130,Catherine McAuley College,Secondary,164 Barkly Street,BENDIGO,VIC,3550,Greater Bendigo (C),144.273362,-36.753444,29
Independent,2,131,Highview College,Secondary,21 Kars Street,MARYBOROUGH,VIC,3465,Central Goldfields (S),143.736415,-37.053543,27
Catholic,2,149,Sacre Coeur,Pri/Sec,172 Burke Road,GLEN IRIS,VIC,3146,Stonnington (C),145.051572,-37.861753,36
Catholic,2,219,Sacred Heart College Geelong,Secondary,Retreat Road,NEWTOWN,VIC,3220,Greater Geelong (C),144.3401453,-38.14949635,31
Catholic,2,236,St Joseph's College - Mildura,Secondary,154 Twelfth Street,MILDURA,VIC,3500,Mildura (RC),142.153461,-34.188725,28
Catholic,2,250,Star of the Sea College,Secondary,80 Martin Street,BRIGHTON,VIC,3186,Bayside (C),144.99678,-37.896734,34
Independent,2,259,Methodist Ladies' College,Pri/Sec,207 Barkers Road,KEW,VIC,3101,Boroondara (C),145.038491,-37.813951,34
Catholic,2,265,Damascus College,Secondary,1412 Geelong Road,MOUNT CLEAR,VIC,3350,Ballarat (C),143.870347,-37.611456,28
Independent,2,278,Ballarat Clarendon College,Pri/Sec,1425 Sturt Street,BALLARAT,VIC,3350,Ballarat (C),143.8336504,-37.55964761,38
Catholic,2,286,Sacred Heart College Kyneton,Secondary,94 High Street,KYNETON,VIC,3444,Macedon Ranges (S),144.458821,-37.252887,30
Catholic,2,384,FCJ College,Secondary,Arundel Streets,BENALLA,VIC,3672,Benalla (RC),145.975389,-36.552769,29
Independent,2,385,Fintona Girls' School,Pri/Sec,79 Balwyn Road,BALWYN,VIC,3103,Boroondara (C),145.080326,-37.815158,36
Independent,2,391,Lauriston Girls' School,Pri/Sec,38 Huntingtower Road,ARMADALE,VIC,3143,Stonnington (C),145.025089,-37.852317,36
Catholic,2,404,Xavier College,Pri/Sec,135 Barkers Road,KEW,VIC,3101,Boroondara (C),145.031105,-37.813858,33
Catholic,2,411,Marian College Ararat,Secondary,304 Barkly Street,ARARAT,VIC,3377,Ararat (RC),142.937766,-37.284744,29
Independent,2,450,Geelong Grammar School,Pri/Sec,50 Biddlecombe Avenue,CORIO,VIC,3214,Greater Geelong (C),144.399071,-38.068817,32
Independent,2,457,Trinity Grammar School Kew,Pri/Sec,40 Charles Street,KEW,VIC,3101,Boroondara (C),145.0355016,-37.81020316,35
Catholic,2,467,Academy of Mary Immaculate,Secondary,88 Nicholson Street,FITZROY,VIC,3065,Yarra (C),144.974409,-37.803711,32
Catholic,2,474,Mount Lilydale Mercy College,Secondary,120 Anderson Street,LILYDALE,VIC,3140,Yarra Ranges (S),145.3577545,-37.75075881,29
Catholic,2,495,Trinity College Colac Inc,Secondary,119 Hart Street,COLAC,VIC,3250,Colac-Otway (S),143.576934,-38.352034,28
Catholic,2,500,Kilbreda College,Secondary,118 Mentone Parade,MENTONE,VIC,3194,Kingston (C),145.065712,-37.984153,31
Catholic,2,501,Padua College,Secondary,62 Oakbank Road,MORNINGTON,VIC,3931,Mornington Peninsula (S),145.0720043,-38.21825666,29
Independent,2,509,Melbourne Girls Grammar,Pri/Sec,86 Anderson Street,SOUTH YARRA,VIC,3141,Melbourne (C),144.984803,-37.831692,34
Independent,2,510,The Geelong College,Pri/Sec,Talbot Street,NEWTOWN,VIC,3220,Greater Geelong (C),144.3400898,-38.15241839,32
Catholic,2,515,Notre Dame College,Secondary,139 Knight Street,SHEPPARTON,VIC,3630,Greater Shepparton (C),145.4076363,-36.37470646,28
Catholic,2,518,Sacred Heart College,Secondary,Piper Street,YARRAWONGA,VIC,3730,Moira (S),146.0092056,-36.00865887,30
Independent,2,545,Bayview College,Secondary,119 Bentinck St,PORTLAND,VIC,3305,Glenelg (S),141.605949,-38.345232,26
Catholic,2,548,Saint Ignatius College Geelong,Secondary,27 Peninsula Drive,DRYSDALE,VIC,3222,Greater Geelong (C),144.5578975,-38.18870264,30
Independent,2,554,Presbyterian Ladies' College,Pri/Sec,141 Burwood Highway,BURWOOD,VIC,3125,Whitehorse (C),145.107002,-37.848559,35
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,19 Diamond Street,ELTHAM,VIC,3095,Nillumbik (S),145.143563,-37.711525,31
Catholic,2,595,St Joseph's College - Echuca,Secondary,21 Dickson Street,ECHUCA,VIC,3564,Campaspe (S),144.743369,-36.118153,29
Catholic,2,605,St Aloysius College,Secondary,31 Curran Street,NORTH MELBOURNE,VIC,3051,Melbourne (C),144.942875,-37.792892,31
Catholic,2,625,Catholic College Sale,Secondary,51-53 Desailly Street,SALE,VIC,3850,Wellington (S),147.063779,-38.108707,29
Catholic,2,646,St Augustine's College,Pri/Sec,Church Street,KYABRAM,VIC,3620,Campaspe (S),145.044713,-36.30955,30
Catholic,2,690,Mercy Regional College,Secondary,Henderson Street,CAMPERDOWN,VIC,3260,Corangamite (S),143.139564,-38.235001,25
Catholic,2,707,St Columba's College,Secondary,2 Leslie Road,ESSENDON,VIC,3040,Moonee Valley (C),144.91429,-37.757202,32
Catholic,2,733,Genazzano FCJ College,Pri/Sec,301 Cotham Road,KEW,VIC,3101,Boroondara (C),145.055783,-37.808973,33
Independent,2,818,St Michael's Grammar School,Pri/Sec,25 - 27 Chapel Street,ST KILDA,VIC,3182,Port Phillip (C),144.991548,-37.859549,33
Independent,2,879,Firbank Grammar School,Pri/Sec,51 Outer Crescent,BRIGHTON,VIC,3186,Bayside (C),144.996936,-37.906118,34
Catholic,2,914,Our Lady of Mercy College,Secondary,52 Cape Street,HEIDELBERG,VIC,3084,Banyule (C),145.067586,-37.75793,32
Independent,2,928,Ballarat Grammar,Pri/Sec,201 Forest Street,WENDOUREE,VIC,3355,Ballarat (C),143.83083,-37.539237,31
Catholic,2,956,De La Salle College,Pri/Sec,1318 High Street,MALVERN,VIC,3144,Stonnington (C),145.032183,-37.857677,29
Independent,2,971,The Hamilton and Alexandra College,Pri/Sec,1 Chaucer Street,HAMILTON,VIC,3300,Southern Grampians (S),142.024214,-37.737198,31
