Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Town,Address_State,Address_Postcode,LGA_Name,longitude,latitude,score
Independent,2,2080,Glenroy Private,Pri/Sec,93 Daley Street,GLENROY,VIC,3046,Moreland (C),144.9292633,-37.69777468,20
Independent,2,2081,Cathedral College Wangaratta,Pri/Sec,344 Wangaratta-Whitfield Road,WANGARATTA,VIC,3676,Wangaratta (RC),146.329913,-36.385946,29
Independent,2,2097,Cobram Anglican Grammar School,Pri/Sec,40-48 Campbell Road,COBRAM,VIC,3644,Moira (S),145.660055,-35.924283,26
Catholic,2,2098,Marist College Bendigo,Pri/Sec,95 Golf Links Road,MAIDEN GULLY,VIC,3551,Greater Bendigo (C),144.2216905,-36.73171249,29
Independent,2,2099,Heatherton Christian College,Pri/Sec,316-322 Kingston Road,CLARINDA,VIC,3169,Kingston (C),145.111361,-37.95784,28
Independent,2,2101,Alice Miller School,Pri/Sec,110 Bailey Road,MACEDON,VIC,3440,Macedon Ranges (S),144.5331946,-37.44570261,31
Independent,2,2103,Al Iman College,Pri/Sec,20-40 Rees Road,MELTON SOUTH,VIC,3338,Melton (C),144.5654845,-37.7071174,25
Independent,2,2104,Edinburgh College,Pri/Sec,33-61 Edinburgh Road,LILYDALE,VIC,3140,Yarra Ranges (S),145.351985,-37.78489,28
Government,1,8246,Homestead Senior Secondary College,Secondary,9 Coaching Parade,Point Cook,VIC,3030,Wyndham (C),144.76858,-37.91573,28
Government,1,8736,Bass Coast College,Secondary,2 McKenzie Street,Wonthaggi,VIC,3995,Bass Coast (S),145.59788,-38.61094,27
